texto,rotulo
"A comida é deliciosa, mas pedi limonada suiça e me disseram que hoje estavam todos muito ocupados e que ninguém conseguiria me atender....melhor ir qdo estiver vazio.",-1
"A partir desta sexta feira dia 11 começam a abrir para jantar mas corre pois é só até as 22 hrs e no domingo dia das mães, estarão aberto durante a Avant Gabriel Chandon!",0
Joint burguer e brewdog,0
Agora de segunda a sexta o Habanero vai abrir no almoço com pratos mexicanos e tradicionais!,0
"Experimente o drink ""Dona Diabla"". Muito bom!",1
Nova senha do Wifi: 1129508219,0
Wi-fi 1129508219,0
"Adoramos a pizza carbonara e a paulistana. Não surpreendeu tanto, mas vale a pena por resgatar o tradicionalismo. Dica @Gourmet_For",1
"O diferencial desse Burger King é que você mesmo serve o refrigerante, e a vontade!",1
Unico defeito estacionamento pago!,-1
24h é 24h.,0
"Excelente Burger King: bom atendimento, ambiente agradável e refil para refrigerante. Evite o inconveniente estacionamento pago estacionando ao redor (no mesmo quarteirão).",1
o atendimento aqui é simplesmente um lixo,-1
O Drive-Truh mais lento da cidade!!,-1
Cheio de bêbados depois das 2 da manhã :D,-1
"Recinto sujo, sem manutenção. Não há segurança pra conter a briga que ocorreu agora há pouco. O refrigerante está aguado, sem gosto, horrível. O lanche (nº 5) também deixou a desejar.",-1
"Essa loja é o ""QUEIMA FILME"" da marca Burger King em São Paulo... Suja, demorada, lanche gelado, atendentes gritando, painel de senhas que não funciona... O cúmulo da falta de organização !!",-1
Atendimento péssimo limpeza deixa a desejar e área externa vc disputa a comida com os pombos horrível ....,-1
"O único com refil, vc compra o copo e toma refrigerante até morrer.",0
"O lugar bomba de gente. Filas gigantescas nos horários de picos. Insista em pedir batatas fritas fresquinhas, vc nao vai se arrepender! Os lanches sao saborosos por serem grelhados como churrasco!",1
O lugar mais nojento da face da terra! Mesas imundas e o chao do lugar todo esta grudento. Sem contar o cheiro medonho no estacionamento,-1
"Adorava aqui! Até que fui mal atendida, erraram TRES vezes o meu lanche e fui enganada pela foto comercial do BK cheddar! BK #fail",-1
Tem refil para o refrigerante!,1
"Lugar sujo, free refil de refrigerantes aguados, lanche morno e batatas fritas murchas. Sempre que vou ao BK me lembro porque cada vez menos aprecio redes de fast-food!",-1
"Nível de serviços ""zero"" , nunca vi um serviço tão ruim , um caixa e a fila quilométrica. Última vez nessa ...",-1
No almoço parece fila do INSS,-1
Mega lotado de domingo!!! Parece o Joakins de sabado na madrugada!,-1
"A loja é imunda, funcionários mal humorados, refrigerante aguado, experiência péssima. Perca mais 10 min e 10 reais e vá na lanchonete da cidade e coma um burger de verdade.",-1
Pessimo atendimento,-1
Tem refil!!!,1
Não venha aqui depois das 22:30 em época de aula. Mega lotado!!!,-1
"Lugarzinho seboso, atendimento podre e gente folgada. Qual a vantagem de ter refil se tds os refrigerantes tem o mesmo gosto de água da privada?",-1
"O camarão (alho e óleo) estava ótimo, o suco de côco é delicioso e o melhor foi o custo benefício. Porções generosas... atendimento deixou um pouco a desejar pela demora e assistência nas mesas.",1
Pessimo atendimento pessima comida pessima mesas sujas pratos horiveis camarao com cara de quem nem foi limpo apenas empanaram e fritaram eu ja tinha ido a uns 2 anos atras e voltei la hoje pra nunca+,-1
"Pior lula que já comi na minha vida. Putaquepariu que bagulho sem graça. Sem sal, sem gosto, sem cor. Fora a vinagrete ""churrasco grego style"". Nota -3/10",-1
"O restaurante da Anhaia Melo tem um péssimo atendimento!! Após 30 minutos, nem as bebidas trouxeram!!! Uma pena, já que o bar do Paco é ótimo!!",-1
"Sempre preste atenção na hora de pagar a conta, já é a segunda vez que venho e nas duas vezes, tem coisas amais na conta.",-1
"O atendimento tem que melhorar,  uma indicação na mesa de quem esta no festival seria bom!!!",-1
No festival é muita pergunta se esta tudo bem do que camarão mesmo!! Melhor pedir alacarte!,-1
Delicioso!Suco gigante e absurdamente caro,1
Agua de coco Peixe assado e sobremesas,0
